Station,Year,Temperature (C),pH,Conductivity (?Siemens/cm),BOD (mg/L),Total coliform,D.O. (mg/L)
Uttar Pradesh,2013,15,6.8,190,2.2,920,11.2
Uttar Pradesh,2013,27,7.8,480,5.2,2400,7
Uttar Pradesh,2014,15,6.8,170,1.4,900,11.1
Uttar Pradesh,2014,28,7.8,300,3.5,1500,7.2
Uttar Pradesh,2015,18,7.2,210,2.1,1100,9.5
Uttar Pradesh,2015,25,8.4,290,3.6,1500,6.5
Uttar Pradesh,2016,16,7,129,1.6,900,9.65
Uttar Pradesh,2016,26,7.6,246,3.5,1200,7.1
Uttar Pradesh,2017,21,7.1,197,1.8,370,8.9
Uttar Pradesh,2017,23,7.8,258,2.6,610,7.4
Uttar Pradesh,2018,18,7,160,2,370,9.4
Uttar Pradesh,2018,34,7.5,259,3,550,7.4
Uttar Pradesh,2019,16,6.5,163,0.6,240,11.5
Uttar Pradesh,2019,26,7.6,256,2.1,2800,7.3
Uttar Pradesh,2020,15,7,150,2.3,220,11.2
Uttar Pradesh,2020,22,8.3,250,2.1,1600,7.5
Uttar Pradesh,2013,12,7.4,19,2.3,2300,10.6
Uttar Pradesh,2013,33,8.7,195,3.8,4300,6.4
Uttar Pradesh,2014,13,7.7,42,2.2,3500,9.8
Uttar Pradesh,2014,35,8.7,428,4.4,4900,6.4
Uttar Pradesh,2015,12,7.4,215,2.1,2400,9.8
Uttar Pradesh,2015,33,8.8,372,3.2,5800,6.6
Uttar Pradesh,2016,16,6.9,202,2.4,2700,9.9
Uttar Pradesh,2016,33,8.4,398,3.6,5400,7
Uttar Pradesh,2017,16,7.3,213,2.6,3800,11.3
Uttar Pradesh,2017,32,8.8,397,3.6,6300,6.1
Uttar Pradesh,2018,15,7.8,202,2.8,3500,11.6
Uttar Pradesh,2018,32,8.7,413,3.8,5200,6.7
Uttar Pradesh,2019,16,7.9,203,2.3,3300,10.6
Uttar Pradesh,2019,32,8.8,350,4.4,5800,6.1
Uttar Pradesh,2020,16,7.6,186,2.4,3300,12
Uttar Pradesh,2020,31,8.6,370,3.2,9400,6.2
Uttar Pradesh,2013,12,7.5,20,2.5,2300,10.8
Uttar Pradesh,2013,33,8.7,120,4.1,44500,6.1
Uttar Pradesh,2014,13,7.6,432,2.7,4200,9.6
Uttar Pradesh,2014,35,8.9,307,4.2,5400,6
Uttar Pradesh,2015,12,7.3,238,2.2,2800,10
Uttar Pradesh,2015,33,8.9,402,4,6300,6.4
Uttar Pradesh,2016,16,7,208,2.6,3200,9.4
Uttar Pradesh,2016,33,8.4,468,4.8,6300,6.6
Uttar Pradesh,2017,16,7.4,215,2.9,4600,11.2
Uttar Pradesh,2017,33,8.5,416,3.9,8400,5.9
Uttar Pradesh,2018,15,7.7,216,3.1,4000,11.6
Uttar Pradesh,2018,32,8.6,434,4.2,5800,6
Uttar Pradesh,2019,16,7.8,203,2.5,3900,10.3
Uttar Pradesh,2019,32,8.7,368,4,5800,5.8
Uttar Pradesh,2020,20,7.5,212,2.9,3900,12.1
Uttar Pradesh,2020,31,8.52,356,6.3,17000,6.2
Uttar Pradesh,2013,21,7.6,268,2.9,7000,8.8
Uttar Pradesh,2013,24.5,8.4,370,3.2,13000,6.9
Uttar Pradesh,2014,20,8,282,2.4,3100,9.2
Uttar Pradesh,2014,25,8.4,392,3.3,4900,7.3
Uttar Pradesh,2015,12,7.9,245,2.5,2700,8.7
Uttar Pradesh,2015,31,8.8,776,8.6,5000,7.5
Uttar Pradesh,2016,21,7.4,320,2.8,2200,9.8
Uttar Pradesh,2016,31,8.5,496,3.5,3600,7.4
